County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Walker County, Alabama",2009,68880,33260,35620,4339.44,4339.44,4408.32,4132.8,3788.4,4546.08,4201.68,4752.72,4683.84,5097.12,4821.6,4477.2,4408.32,3168.48,2686.32,2273.04,1446.48,1308.72
"Washington County, Alabama",2009,17212,8498,8714,912.236,1153.204,1411.384,1273.688,1118.78,877.812,860.6,1204.84,1067.144,1376.96,1308.112,808.964,1256.476,636.844,740.116,430.3,258.18,481.936
"Wilcox County, Alabama",2009,12552,5789,6763,878.64,828.432,1292.856,1117.128,728.016,690.36,640.152,778.224,878.64,690.36,891.192,828.432,602.496,640.152,251.04,364.008,238.488,213.384
"Winston County, Alabama",2009,24190,11921,12269,1306.26,1112.74,2177.1,1572.35,1233.69,1330.45,1427.21,1475.59,1935.2,1886.82,1644.92,1572.35,1693.3,1136.93,1015.98,943.41,507.99,241.9
"Aleutians East Borough, Alaska",2009,2959,1965,994,115.401,103.565,118.36,82.852,295.9,322.531,251.515,408.342,322.531,281.105,201.212,289.982,79.893,35.508,11.836,17.754,5.918,8.877
"Aleutians West Census Area, Alaska",2009,5505,4124,1381,148.635,148.635,159.645,132.12,572.52,363.33,440.4,649.59,770.7,935.85,423.885,379.845,236.715,88.08,27.525,5.505,11.01,0
"Anchorage Municipality, Alaska",2009,280389,143053,137336,21589.953,19627.23,19627.23,20468.397,26076.177,24674.232,19627.23,19346.841,20748.786,21870.342,20748.786,16542.951,10935.171,6729.336,4766.613,3645.057,1962.723,1962.723
"Bethel Census Area, Alaska",2009,17151,9012,8139,1920.912,1612.194,1543.59,1783.704,1423.533,1252.023,1046.211,1080.513,1114.815,1114.815,943.305,909.003,514.53,291.567,274.416,205.812,68.604,51.453
"Bristol Bay Borough, Alaska",2009,682,328,354,40.92,34.782,98.89,49.104,49.786,4.774,51.15,44.33,19.096,68.2,90.024,34.782,19.778,25.916,15.686,12.958,12.276,8.866
"Denali Borough, Alaska",2009,1529,884,645,70.334,76.45,103.972,67.276,21.406,91.74,84.095,145.255,191.125,201.828,192.654,177.364,33.638,42.812,16.819,7.645,1.529,0
"Dillingham Census Area, Alaska",2009,4946,2565,2381,420.41,390.734,499.546,519.33,361.058,301.706,252.246,301.706,380.842,341.274,366.004,291.814,163.218,128.596,103.866,74.19,29.676,19.784
"Fairbanks North Star Borough, Alaska",2009,96843,51682,45161,7844.283,6779.01,6682.167,7844.283,11427.474,9296.928,6585.324,5713.737,6682.167,6875.853,6585.324,5326.365,3583.191,1936.86,1452.645,774.744,871.587,484.215
"Haines Borough, Alaska",2009,2424,1236,1188,150.288,106.656,191.496,87.264,133.32,43.632,94.536,84.84,213.312,252.096,307.848,244.824,121.2,79.992,130.896,72.72,38.784,70.296
"Hoonah-Angoon Census Area, Alaska",2009,2042,1067,975,100.058,100.058,142.94,122.52,46.966,153.15,130.688,102.1,165.402,161.318,193.99,251.166,98.016,65.344,93.932,61.26,32.672,22.462
"Juneau City and Borough, Alaska",2009,30777,15605,15172,1846.62,1877.397,2123.613,2400.606,2308.275,2000.505,1969.728,1938.951,2739.153,2677.599,2708.376,2339.052,1631.181,861.756,430.878,523.209,184.662,215.439
"Kenai Peninsula Borough, Alaska",2009,53052,27632,25420,3236.172,3448.38,3766.692,4244.16,3448.38,2811.756,2758.704,2970.912,4031.952,4774.68,5092.992,4350.264,2864.808,2015.976,1326.3,795.78,636.624,477.468
"Ketchikan Gateway Borough, Alaska",2009,13132,6537,6595,906.108,958.636,827.316,866.712,919.24,866.712,709.128,748.524,1116.22,1195.012,1089.956,998.032,695.996,380.828,328.3,288.904,196.98,52.528
"Kodiak Island Borough, Alaska",2009,13147,7075,6072,1091.201,1209.524,959.731,933.437,1196.377,841.408,749.379,762.526,1235.818,1104.348,907.143,880.849,525.88,354.969,223.499,65.735,39.441,78.882
"Lake and Peninsula Borough, Alaska",2009,1399,649,750,139.9,132.905,173.476,152.491,104.925,51.763,61.556,34.975,79.743,100.728,155.289,89.536,36.374,23.783,22.384,18.187,11.192,6.995
"Matanuska-Susitna Borough, Alaska",2009,82099,42629,39470,6075.326,5829.029,6732.118,7224.712,5664.831,5172.237,5172.237,5829.029,6321.623,7060.514,6650.019,5008.039,3366.059,2134.574,1641.98,985.188,656.792,492.594
"Nome Census Area, Alaska",2009,9339,5014,4325,989.934,840.51,719.103,971.256,831.171,747.12,569.679,551.001,588.357,560.34,541.662,522.984,354.882,224.136,102.729,140.085,65.373,18.678
"North Slope Borough, Alaska",2009,6716,3585,3131,725.328,570.86,584.292,725.328,564.144,584.292,329.084,329.084,470.12,550.712,436.54,349.232,241.776,100.74,60.444,40.296,33.58,20.148
"Northwest Arctic Borough, Alaska",2009,7430,3950,3480,787.58,690.99,690.99,809.87,690.99,564.68,423.51,460.66,482.95,460.66,393.79,364.07,215.47,141.17,118.88,66.87,44.58,14.86
"Petersburg Census Area, Alaska",2009,3862,2051,1811,220.134,293.512,185.376,320.546,154.48,185.376,77.24,254.892,436.406,347.58,339.856,378.476,212.41,258.754,50.206,38.62,54.068,57.93
"Prince of Wales-Hyder Census Area, Alaska",2009,5572,3067,2505,306.46,345.464,445.76,473.62,373.324,317.604,312.032,395.612,378.896,473.62,518.196,451.332,267.456,278.6,117.012,55.72,44.576,16.716
"Sitka City and Borough, Alaska",2009,8811,4450,4361,546.282,599.148,599.148,669.636,546.282,660.825,546.282,475.794,740.124,766.557,687.258,740.124,387.684,308.385,246.708,158.598,44.055,79.299
"Skagway Municipality, Alaska",2009,1071,632,439,58.905,49.266,56.763,85.68,128.52,82.467,21.42,82.467,59.976,119.952,111.384,113.526,27.846,29.988,24.633,6.426,11.781,0
"Southeast Fairbanks Census Area, Alaska",2009,6760,3535,3225,655.72,561.08,574.6,581.36,371.8,344.76,358.28,527.28,419.12,574.6,500.24,473.2,297.44,216.32,189.28,54.08,54.08,13.52
"Valdez-Cordova Census Area, Alaska",2009,9529,5092,4437,628.914,600.327,705.146,886.197,571.74,438.334,485.979,667.03,667.03,914.784,924.313,800.436,571.74,181.051,228.696,114.348,47.645,95.29
"Wade Hampton Census Area, Alaska",2009,7577,3938,3639,1015.318,712.238,825.893,909.24,704.661,530.39,424.312,431.889,424.312,401.581,356.119,325.811,159.117,121.232,106.078,53.039,30.308,53.039
"Wrangell City and Borough, Alaska",2009,2168,1029,1139,78.048,147.424,179.944,125.744,229.808,147.424,65.04,140.92,153.928,149.592,216.8,190.784,52.032,106.232,54.2,73.712,60.704,0
"Yakutat City and Borough, Alaska",2009,418,207,211,28.006,35.948,55.176,32.186,7.942,0.836,28.006,38.038,37.202,22.99,37.202,23.826,27.17,22.99,4.18,7.106,10.032,0
"Yukon-Koyukuk Census Area, Alaska",2009,5813,3133,2680,366.219,470.853,366.219,627.804,424.349,401.097,296.463,354.593,325.528,459.227,470.853,447.601,279.024,180.203,139.512,93.008,52.317,40.691
"Apache County, Arizona",2009,69341,34067,35274,6102.008,5339.257,6934.1,7280.805,4853.87,3883.096,3397.709,3675.073,4229.801,4784.529,4368.483,3675.073,3467.05,2496.276,1802.866,1109.456,1040.115,762.751
"Cochise County, Arizona",2009,127613,63380,64233,9060.523,8294.845,8294.845,9570.975,8422.458,6125.424,6380.65,7146.328,7784.393,9060.523,9060.523,8805.297,8039.619,6508.263,5232.133,4466.455,3190.325,2169.421
"Coconino County, Arizona",2009,127312,63457,63855,9930.336,8657.216,9166.464,11585.392,17441.744,6620.224,6620.224,8020.656,7893.344,9293.776,9039.152,7766.032,5347.104,3182.8,2928.176,1909.68,1145.808,1018.496
"Gila County, Arizona",2009,51850,25641,26209,3162.85,3473.95,3162.85,3681.35,2333.25,1814.75,1918.45,2696.2,2540.65,3785.05,3733.2,4199.85,4044.3,3473.95,2696.2,2229.55,1607.35,1296.25
"Graham County, Arizona",2009,34780,18247,16533,2608.5,2608.5,2538.94,2991.08,3060.64,2643.28,2052.02,2156.36,2399.82,2156.36,1982.46,1773.78,1391.2,1147.74,1008.62,1182.52,556.48,417.36
"Greenlee County, Arizona",2009,7723,4057,3666,633.286,525.164,764.577,625.563,347.535,393.873,478.826,455.657,586.948,602.394,617.84,579.225,332.089,262.582,131.291,231.69,100.399,54.061
"La Paz County, Arizona",2009,20055,10032,10023,1123.08,822.255,1163.19,902.475,882.42,1082.97,641.76,1103.025,1042.86,1082.97,1243.41,1163.19,1504.125,1484.07,1664.565,2005.5,621.705,501.375
"Maricopa County, Arizona",2009,3855521,1943284,1912237,323863.764,289164.075,277597.512,258319.907,258319.907,320008.243,296875.117,285308.554,273741.991,262175.428,227475.739,196631.571,161931.882,119521.151,96388.025,88676.983,65543.857,53977.294
"Mohave County, Arizona",2009,192988,95420,97568,11965.256,11193.304,11965.256,11772.268,8877.448,9263.424,9070.436,10421.352,11193.304,13316.172,13895.136,14474.1,14667.088,12737.208,10807.328,8491.472,5210.676,3666.772
"Navajo County, Arizona",2009,110458,54613,55845,9168.014,8615.724,10272.594,10383.052,7400.686,6075.19,5743.816,6406.564,6737.938,7621.602,6958.854,6627.48,5412.442,4197.404,3645.114,2430.076,1656.87,1104.58
"Pima County, Arizona",2009,990213,484947,505266,68324.697,62383.419,64363.845,68324.697,68324.697,77236.614,63373.632,59412.78,64363.845,68324.697,66344.271,60402.993,52481.289,40598.733,31686.816,30696.603,22774.899,19804.26
"Pinal County, Arizona",2009,296113,154918,141195,22800.701,22800.701,19839.571,18062.893,18062.893,22800.701,22208.475,21024.023,18655.119,18359.006,17174.554,16878.441,15693.989,13325.085,10363.955,9475.616,5330.034,2961.13
"Santa Cruz County, Arizona",2009,42550,20433,22117,4042.25,3361.45,4042.25,3701.85,2255.15,1787.1,2297.7,2212.6,2935.95,2893.4,2850.85,2340.25,1999.85,1914.75,1489.25,1148.85,510.6,765.9
"Yavapai County, Arizona",2009,209365,102669,106696,11096.345,10468.25,12561.9,11933.805,10049.52,9421.425,9212.06,11096.345,11096.345,14864.915,16121.105,17167.93,16539.835,14027.455,11305.71,9630.79,7118.41,5234.125
"Yuma County, Arizona",2009,188983,94135,94848,16630.504,13795.759,16063.555,14551.691,13984.742,10016.099,10016.099,10394.065,12094.912,11149.997,9449.15,7937.286,8504.235,9071.184,7559.32,8882.201,5858.473,2834.745
"Arkansas County, Arkansas",2009,19385,9385,10000,1182.485,1066.175,1492.645,1512.03,1008.02,988.635,1046.79,911.095,1531.415,1453.875,1531.415,1453.875,1046.79,794.785,678.475,620.32,562.165,484.625
"Ashley County, Arkansas",2009,22337,10835,11502,1362.557,1451.905,1652.938,1831.634,1094.513,1206.198,1474.242,1384.894,1630.601,1608.264,1518.916,1295.546,1518.916,960.491,848.806,625.436,290.381,580.762
"Baxter County, Arkansas",2009,41468,19934,21534,1948.996,2031.932,2239.272,2156.336,1783.124,1866.06,1700.188,2073.4,2239.272,2819.824,2902.76,3234.504,3358.908,3317.44,2571.016,2073.4,1451.38,1658.72
"Benton County, Arkansas",2009,209931,104129,105802,16584.549,16794.48,14905.101,13645.515,13015.722,15954.756,15534.894,15324.963,15324.963,15115.032,12175.998,10706.481,9656.826,7557.516,6087.999,4828.413,3568.827,2939.034
"Boone County, Arkansas",2009,36341,17621,18720,2289.483,2216.801,2543.87,2289.483,2071.437,2216.801,1962.414,2253.142,2434.847,2580.211,2398.506,2398.506,2253.142,1780.709,1708.027,1017.548,944.866,1053.889
"Bradley County, Arkansas",2009,11967,6058,5909,813.756,789.822,741.954,610.317,562.449,1041.129,586.383,849.657,849.657,885.558,825.723,777.855,646.218,514.581,442.779,502.614,323.109,227.373
"Calhoun County, Arkansas",2009,5411,2646,2765,259.728,259.728,438.291,427.469,362.537,167.741,270.55,384.181,378.77,503.223,335.482,367.948,330.071,243.495,227.262,216.44,124.453,113.631
"Carroll County, Arkansas",2009,27321,13670,13651,1748.544,1721.223,1557.297,1721.223,1611.939,1502.655,1529.976,1666.581,1639.26,1912.47,2185.68,1912.47,2131.038,1448.013,1065.519,1038.198,437.136,491.778
"Chicot County, Arkansas",2009,12279,6051,6228,798.135,712.182,933.204,785.856,822.693,699.903,503.439,687.624,982.32,933.204,896.367,663.066,810.414,589.392,491.16,319.254,331.533,306.975
"Clark County, Arkansas",2009,23601,11288,12313,1392.459,1227.252,1439.661,2572.509,3917.766,826.035,1085.646,1109.247,1510.464,1368.858,1345.257,1298.055,1109.247,873.237,802.434,755.232,377.616,542.823
"Clay County, Arkansas",2009,16045,7704,8341,898.52,946.655,962.7,1058.97,770.16,834.34,834.34,994.79,1107.105,1171.285,1091.06,1123.15,1091.06,946.655,641.8,722.025,545.53,304.855
"Cleburne County, Arkansas",2009,25292,12293,12999,1264.6,1289.892,1593.396,1492.228,1239.308,1188.724,1214.016,1289.892,1795.732,1821.024,1770.44,1719.856,2023.36,1947.484,1214.016,1011.68,682.884,733.468
